Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Tyler Johnson,MIA,25,50,2.0,18.1%,0.98,49,2.0,18,0.7,44,1.8,40.9,51.1,4.0%,8.0%,4.0%,0.0%,40.0%,64.9
Goran Dragic,MIA,26,43,1.7,9.3%,0.65,28,1.1,10,0.4,34,1.3,29.4,33.8,7.0%,14.0%,7.0%,0.0%,30.2%,16.8
Cory Joseph,IND,27,11,0.4,4.8%,0.45,5,0.2,2,0.1,10,0.4,20.0,25.0,0.0%,9.1%,0.0%,0.0%,18.2%,1.5
Gian Clavell,DAL,4,3,0.8,23.1%,0.00,0,0.0,0,0.0,2,0.5,0.0,0.0,0.0%,33.3%,0.0%,0.0%,0.0%,
Dewayne Dedmon,ATL,20,1,0.1,0.5%,3.00,3,0.2,1,0.1,1,0.1,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Thon Maker,MIL,25,1,0.0,0.7%,3.00,3,0.1,1,0.0,1,0.0,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Quincy Acy,BKN,21,6,0.3,4.6%,1.00,6,0.3,2,0.1,6,0.3,33.3,50.0,0.0%,0.0%,0.0%,0.0%,33.3%,
Rodney Hood,UTA,18,29,1.6,9.2%,1.00,29,1.6,12,0.7,27,1.5,44.4,53.7,0.0%,6.9%,0.0%,0.0%,41.4%,71.1
Kyle Korver,CLE,28,23,0.8,9.6%,1.13,26,0.9,10,0.4,22,0.8,45.5,56.8,4.3%,4.3%,4.3%,4.3%,43.5%,80.2
George Hill,SAC,24,22,0.9,9.7%,1.23,27,1.1,9,0.4,18,0.8,50.0,58.3,18.2%,9.1%,13.6%,9.1%,50.0%,87.8
Jayson Tatum,BOS,29,19,0.7,5.5%,1.00,19,0.7,8,0.3,17,0.6,47.1,50.0,5.3%,5.3%,5.3%,0.0%,47.4%,71.1
Darren Collison,IND,26,13,0.5,4.2%,0.46,6,0.2,3,0.1,8,0.3,37.5,37.5,0.0%,38.5%,0.0%,0.0%,23.1%,3.1
Tony Snell,MIL,23,22,1.0,14.2%,0.50,11,0.5,4,0.2,22,1.0,18.2,25.0,0.0%,0.0%,0.0%,0.0%,18.2%,5.5
Mirza Teletovic,MIL,10,6,0.6,9.4%,0.83,5,0.5,2,0.2,5,0.5,40.0,50.0,0.0%,16.7%,0.0%,0.0%,33.3%,
CJ McCollum,POR,25,47,1.9,9.0%,0.74,35,1.4,12,0.5,35,1.4,34.3,40.0,8.5%,17.0%,8.5%,0.0%,34.0%,31.3
DeMarre Carroll,BKN,24,20,0.8,6.2%,1.25,25,1.0,9,0.4,17,0.7,52.9,55.9,25.0%,5.0%,20.0%,15.0%,55.0%,89.3
Mario Hezonja,ORL,21,2,0.1,2.5%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Joe Harris,BKN,24,30,1.3,13.6%,1.03,31,1.3,11,0.5,27,1.1,40.7,57.4,3.3%,6.7%,0.0%,0.0%,36.7%,75.6
Reggie Jackson,DET,27,35,1.3,8.0%,0.83,29,1.1,10,0.4,26,1.0,38.5,44.2,8.6%,17.1%,5.7%,0.0%,37.1%,44.3
Ish Smith,DET,27,27,1.0,9.9%,0.81,22,0.8,10,0.4,23,0.9,43.5,43.5,3.7%,11.1%,3.7%,0.0%,40.7%,40.5
Luke Kennard,DET,22,43,2.0,28.7%,0.79,34,1.5,14,0.6,33,1.5,42.4,47.0,4.7%,18.6%,2.3%,0.0%,37.2%,38.2
J.J. Barea,DAL,28,28,1.0,7.7%,1.04,29,1.0,12,0.4,25,0.9,48.0,56.0,3.6%,10.7%,3.6%,3.6%,42.9%,76.3
Justin Jackson,SAC,18,12,0.7,9.3%,0.50,6,0.3,3,0.2,12,0.7,25.0,25.0,0.0%,0.0%,0.0%,0.0%,25.0%,5.5
TJ Warren,PHX,29,20,0.7,3.6%,0.70,14,0.5,7,0.2,18,0.6,38.9,38.9,0.0%,5.0%,5.0%,0.0%,35.0%,24.0
Taurean Prince,ATL,27,24,0.9,6.4%,0.88,21,0.8,9,0.3,18,0.7,50.0,55.6,4.2%,20.8%,4.2%,0.0%,41.7%,51.2
Jason Terry,MIL,10,6,0.6,25.0%,0.33,2,0.2,1,0.1,5,0.5,20.0,20.0,0.0%,16.7%,0.0%,0.0%,16.7%,
Kyle Lowry,TOR,25,26,1.0,6.5%,0.85,22,0.9,7,0.3,20,0.8,35.0,40.0,11.5%,15.4%,11.5%,3.8%,34.6%,47.7
Brandon Ingram,LAL,26,40,1.5,8.5%,0.85,34,1.3,14,0.5,29,1.1,48.3,50.0,17.5%,20.0%,15.0%,10.0%,37.5%,48.9
Justin Holiday,CHI,25,62,2.5,16.4%,1.26,78,3.1,26,1.0,52,2.1,50.0,59.6,14.5%,4.8%,14.5%,3.2%,53.2%,90.1
Paul Zipser,CHI,23,6,0.3,4.3%,0.67,4,0.2,2,0.1,5,0.2,40.0,40.0,0.0%,16.7%,0.0%,0.0%,33.3%,
Jordan  Clarkson,LAL,26,30,1.2,7.8%,1.17,35,1.3,14,0.5,26,1.0,53.8,63.5,3.3%,10.0%,3.3%,0.0%,50.0%,82.3
Kay Felder,CHI,13,8,0.6,9.3%,0.88,7,0.5,2,0.2,6,0.5,33.3,41.7,12.5%,12.5%,12.5%,0.0%,37.5%,
Jerian Grant,CHI,26,12,0.5,5.0%,0.50,6,0.2,1,0.0,7,0.3,14.3,14.3,16.7%,25.0%,16.7%,0.0%,25.0%,5.5
Russell Westbrook,OKC,26,24,0.9,3.3%,0.54,13,0.5,5,0.2,21,0.8,23.8,31.0,0.0%,12.5%,0.0%,0.0%,20.8%,9.9
Danilo Gallinari,LAC,11,9,0.8,5.3%,0.00,0,0.0,0,0.0,8,0.7,0.0,0.0,0.0%,11.1%,0.0%,0.0%,0.0%,
Patrick Beverly,LAC,11,7,0.6,4.6%,0.71,5,0.5,2,0.2,5,0.5,40.0,50.0,14.3%,28.6%,14.3%,14.3%,28.6%,
Milos Teodosic,LAC,3,2,0.7,6.9%,1.00,2,0.7,1,0.3,2,0.7,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Lou Williams,LAC,25,39,1.6,8.2%,1.21,47,1.9,14,0.6,29,1.2,48.3,63.8,12.8%,12.8%,10.3%,0.0%,48.7%,85.5
