Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Lorenzo Brown,TOR,4,2,0.5,33.3%,1.00,2,0.5,1,0.3,2,0.5,50.0,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,
DeAndre Bembry,ATL,12,25,2.1,24.8%,0.44,11,0.9,4,0.3,15,1.3,26.7,26.7,12.0%,32.0%,8.0%,4.0%,24.0%,6.6
Jared Dudley,PHX,12,1,0.1,2.0%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jose Calderon,CLE,18,26,1.4,41.9%,0.42,11,0.6,5,0.3,16,0.9,31.3,31.3,3.8%,34.6%,3.8%,0.0%,23.1%,5.6
Juan Hernangomez,DEN,13,1,0.1,1.9%,4.00,4,0.3,1,0.1,1,0.1,100.0,150.0,100.0%,0.0%,100.0%,100.0%,100.0%,
Mason Plumlee,DEN,26,1,0.0,0.5%,3.00,3,0.1,1,0.0,1,0.0,100.0,100.0,100.0%,0.0%,100.0%,100.0%,100.0%,
Kelly Olynyk,MIA,26,4,0.2,1.7%,1.50,6,0.2,2,0.1,2,0.1,100.0,100.0,25.0%,25.0%,25.0%,0.0%,75.0%,
Maxi Kleber,DAL,21,1,0.0,1.0%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
John Holland,CLE,1,1,1.0,50.0%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Arron Afflalo,ORL,22,4,0.2,5.6%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Rajon Rondo,NOP,14,40,2.9,30.5%,0.90,36,2.6,16,1.1,29,2.1,55.2,62.1,0.0%,27.5%,0.0%,0.0%,40.0%,70.1
Nicolas Batum,CHA,12,24,2.0,15.8%,0.58,14,1.2,6,0.5,17,1.4,35.3,38.2,4.2%,25.0%,4.2%,0.0%,29.2%,15.7
