Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Donovan Mitchell,UTA,27,73,2.7,14.3%,0.82,60,2.2,23,0.9,53,2.0,43.4,46.2,9.6%,17.8%,8.2%,1.4%,39.7%,13.4
Dejounte Murray,SAS,28,55,2.0,23.9%,0.80,44,1.6,14,0.5,30,1.1,46.7,46.7,20.0%,25.5%,16.4%,0.0%,43.6%,11.2
Khris Middleton,MIL,25,80,3.2,16.7%,1.02,82,3.3,30,1.2,64,2.6,46.9,55.5,7.5%,13.8%,7.5%,1.3%,43.8%,45.4
E'Twaun Moore,NOP,28,79,2.8,24.1%,1.32,104,3.7,42,1.5,72,2.6,58.3,70.8,1.3%,7.6%,1.3%,0.0%,54.4%,84.3
Terrence Ross,ORL,22,42,1.9,19.4%,1.07,45,2.0,16,0.7,33,1.5,48.5,62.1,7.1%,16.7%,7.1%,2.4%,42.9%,54.6
Marvin  Williams,CHA,26,39,1.5,18.3%,1.62,63,2.4,21,0.8,36,1.4,58.3,73.6,20.5%,0.0%,20.5%,12.8%,61.5%,98.0
Reggie Jackson,DET,27,66,2.4,15.0%,0.98,65,2.4,26,1.0,51,1.9,51.0,57.8,6.1%,18.2%,4.5%,1.5%,43.9%,34.3
Dario Saric,PHI,26,45,1.7,13.3%,0.82,37,1.4,13,0.5,34,1.3,38.2,45.6,13.3%,15.6%,13.3%,4.4%,35.6%,13.7
Marco Belinelli,ATL,27,27,1.0,8.5%,1.11,30,1.1,9,0.3,21,0.8,42.9,59.5,7.4%,14.8%,7.4%,0.0%,40.7%,59.3
Emmanuel Mudiay,DEN,27,53,2.0,16.4%,0.92,49,1.8,19,0.7,38,1.4,50.0,60.5,7.5%,20.8%,3.8%,0.0%,41.5%,25.8
Joe  Ingles,UTA,27,31,1.1,11.0%,1.13,35,1.3,13,0.5,26,1.0,50.0,67.3,0.0%,16.1%,0.0%,0.0%,41.9%,60.5
Tyus Jones,MIN,28,25,0.9,22.1%,1.20,30,1.1,10,0.4,19,0.7,52.6,60.5,20.0%,12.0%,20.0%,8.0%,52.0%,69.2
Jake Layman,POR,1,1,1.0,25.0%,3.00,3,3.0,1,1.0,1,1.0,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Tyler Johnson,MIA,25,39,1.6,14.1%,1.18,46,1.8,17,0.7,35,1.4,48.6,62.9,2.6%,5.1%,5.1%,0.0%,46.2%,66.3
Jimmy Butler,MIN,26,58,2.2,11.5%,1.34,78,3.0,28,1.1,47,1.8,59.6,63.8,19.0%,6.9%,17.2%,6.9%,60.3%,86.3
Jeff Teague,MIN,24,53,2.2,14.2%,1.00,53,2.2,20,0.8,41,1.7,48.8,56.1,7.5%,17.0%,5.7%,1.9%,43.4%,37.8
Jamal Crawford,MIN,28,41,1.5,15.0%,0.85,35,1.3,11,0.4,33,1.2,33.3,39.4,12.2%,9.8%,12.2%,2.4%,36.6%,16.3
Danny Green,SAS,26,40,1.5,14.9%,0.90,36,1.4,14,0.5,35,1.3,40.0,50.0,2.5%,12.5%,2.5%,2.5%,35.0%,21.3
Kyrie Irving,BOS,27,70,2.6,12.0%,0.94,66,2.4,23,0.9,53,2.0,43.4,51.9,11.4%,14.3%,10.0%,1.4%,41.4%,28.4
Eric Bledsoe,PHX,3,12,4.0,21.4%,0.50,6,2.0,2,0.7,9,3.0,22.2,22.2,25.0%,8.3%,25.0%,8.3%,25.0%,2.0
Bojan Bogdanovic,IND,27,96,3.6,27.7%,1.23,118,4.4,43,1.6,86,3.2,50.0,62.8,7.3%,5.2%,6.3%,2.1%,50.0%,72.2
Ricky Rubio,UTA,26,49,1.9,13.3%,0.82,40,1.5,14,0.5,32,1.2,43.8,53.1,8.2%,30.6%,6.1%,4.1%,32.7%,12.7
Mike James,PHX,29,61,2.1,16.2%,0.90,55,1.9,20,0.7,47,1.6,42.6,45.7,14.8%,9.8%,8.2%,1.6%,44.3%,21.9
Domantas Sabonis,IND,25,16,0.6,5.3%,1.75,28,1.1,10,0.4,12,0.5,83.3,87.5,31.3%,6.3%,31.3%,12.5%,81.3%,99.3
Dwight Howard,CHA,26,23,0.9,5.0%,1.48,34,1.3,15,0.6,21,0.8,71.4,71.4,26.1%,0.0%,26.1%,17.4%,73.9%,95.4
Jeremy Lamb,CHA,25,39,1.6,10.3%,1.03,40,1.6,14,0.6,28,1.1,50.0,55.4,12.8%,17.9%,10.3%,2.6%,46.2%,45.8
Andre Drummond,DET,27,26,1.0,6.3%,1.15,30,1.1,11,0.4,15,0.6,73.3,73.3,26.9%,19.2%,23.1%,3.8%,65.4%,63.1
Marcin Gortat,WAS,27,12,0.4,4.6%,1.42,17,0.6,7,0.3,10,0.4,70.0,70.0,16.7%,8.3%,16.7%,8.3%,66.7%,91.2
Jodie Meeks,WAS,27,30,1.1,15.6%,1.43,43,1.6,13,0.5,20,0.7,65.0,82.5,20.0%,13.3%,13.3%,0.0%,63.3%,92.2
Greg Monroe,MIL,5,2,0.4,4.9%,2.00,4,0.8,2,0.4,2,0.4,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Abdel Nader,BOS,1,1,1.0,25.0%,2.00,2,2.0,1,1.0,1,1.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Kent  Bazemore,ATL,27,48,1.8,12.5%,1.10,53,2.0,20,0.7,35,1.3,57.1,65.7,10.4%,18.8%,8.3%,2.1%,50.0%,57.8
Harrison Barnes,DAL,28,40,1.4,7.6%,1.00,40,1.4,16,0.6,34,1.2,47.1,50.0,7.5%,7.5%,7.5%,0.0%,47.5%,37.8
Devin Harris,DAL,22,27,1.2,13.7%,1.00,27,1.2,9,0.4,22,1.0,40.9,45.5,18.5%,3.7%,18.5%,3.7%,48.1%,37.8
Malcom Delaney,ATL,20,22,1.1,17.5%,0.91,20,1.0,8,0.4,16,0.8,50.0,56.3,9.1%,22.7%,4.5%,4.5%,40.9%,22.5
Mike Muscala,ATL,9,4,0.4,6.2%,1.00,4,0.4,2,0.2,3,0.3,66.7,66.7,0.0%,25.0%,0.0%,0.0%,50.0%,
Gary Harris,DEN,25,66,2.6,17.8%,1.26,83,3.3,32,1.3,51,2.0,62.7,76.5,6.1%,16.7%,4.5%,0.0%,54.5%,77.5
Mason Plumlee,DEN,27,21,0.8,10.9%,1.05,22,0.8,8,0.3,11,0.4,72.7,72.7,38.1%,19.0%,33.3%,9.5%,52.4%,50.3
