Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Timofey Mozgov,BKN,23,24,1.0,20.9%,0.92,22,1.0,9,0.4,17,0.7,52.9,52.9,12.5%,20.8%,12.5%,4.2%,45.8%,21.3
T.J. Leaf,IND,23,13,0.6,16.3%,1.31,17,0.7,7,0.3,12,0.5,58.3,70.8,0.0%,7.7%,0.0%,0.0%,53.8%,82.8
Andre Drummond,DET,33,67,2.0,13.3%,1.07,72,2.2,30,0.9,52,1.6,57.7,57.7,16.4%,9.0%,16.4%,3.0%,56.7%,53.6
Dario Saric,PHI,32,32,1.0,7.2%,0.94,30,0.9,12,0.4,27,0.8,44.4,53.7,6.3%,12.5%,6.3%,3.1%,37.5%,23.2
Semi Ojeleye,BOS,35,7,0.2,6.5%,0.71,5,0.1,2,0.1,6,0.2,33.3,41.7,14.3%,14.3%,14.3%,14.3%,28.6%,
Thon Maker,MIL,32,22,0.7,14.1%,0.91,20,0.6,9,0.3,22,0.7,40.9,43.2,4.5%,0.0%,4.5%,4.5%,40.9%,19.9
Jarell Martin,MEM,33,11,0.3,5.6%,1.00,11,0.3,5,0.2,10,0.3,50.0,50.0,9.1%,0.0%,9.1%,0.0%,54.5%,37.4
Mason Plumlee,DEN,35,44,1.3,15.9%,0.82,36,1.0,16,0.5,30,0.9,53.3,53.3,15.9%,18.2%,13.6%,2.3%,43.2%,15.2
Ekpe Udoh,UTA,33,27,0.8,27.8%,0.78,21,0.6,9,0.3,24,0.7,37.5,37.5,14.8%,7.4%,14.8%,11.1%,37.0%,10.6
Ryan Anderson,HOU,31,54,1.7,18.0%,0.81,44,1.4,15,0.5,48,1.5,31.3,40.6,5.6%,5.6%,5.6%,0.0%,33.3%,14.0
Alec Peters,PHX,1,1,1.0,33.3%,0.00,0,0.0,0,0.0,1,1.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Ed Davis,POR,33,28,0.8,15.5%,0.68,19,0.6,5,0.2,16,0.5,31.3,31.3,21.4%,21.4%,21.4%,0.0%,39.3%,3.3
Dwight Howard,CHA,34,52,1.5,8.8%,0.96,50,1.5,20,0.6,35,1.0,57.1,57.1,25.0%,11.5%,25.0%,3.8%,51.9%,28.5
Gorgui Dieng,MIN,32,50,1.6,23.5%,0.94,47,1.5,16,0.5,36,1.1,44.4,45.8,20.0%,10.0%,18.0%,2.0%,50.0%,23.8
Frank Kaminsky,CHA,31,73,2.4,21.5%,1.18,86,2.8,33,1.1,64,2.1,51.6,60.9,6.8%,6.8%,6.8%,1.4%,50.7%,64.2
Jon Leuer,DET,8,8,1.0,16.3%,0.63,5,0.6,2,0.3,8,1.0,25.0,25.0,12.5%,0.0%,12.5%,12.5%,25.0%,
Henry Ellenson,DET,8,7,0.9,15.6%,0.00,0,0.0,0,0.0,7,0.9,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Jayson Tatum,BOS,38,17,0.4,3.7%,1.06,18,0.5,7,0.2,15,0.4,46.7,53.3,5.9%,5.9%,5.9%,0.0%,47.1%,50.3
Al Horford,BOS,35,99,2.8,21.2%,1.19,118,3.4,49,1.4,91,2.6,53.8,61.0,5.1%,4.0%,5.1%,1.0%,52.5%,66.2
Aron Baynes,BOS,38,61,1.6,23.7%,1.07,65,1.7,27,0.7,53,1.4,50.9,50.9,11.5%,4.9%,11.5%,3.3%,52.5%,51.7
Luc Mbah a Moute,HOU,24,6,0.3,3.5%,0.67,4,0.2,2,0.1,3,0.1,66.7,66.7,16.7%,33.3%,16.7%,0.0%,33.3%,
PJ Tucker,HOU,32,16,0.5,7.7%,0.38,6,0.2,3,0.1,14,0.4,21.4,21.4,0.0%,12.5%,0.0%,0.0%,18.8%,0.0
Zaza Pachulia,GSW,26,15,0.6,10.7%,1.33,20,0.8,8,0.3,12,0.5,66.7,66.7,13.3%,6.7%,13.3%,0.0%,66.7%,88.7
LeBron James,CLE,35,15,0.4,1.7%,1.47,22,0.6,10,0.3,12,0.3,83.3,91.7,0.0%,20.0%,0.0%,0.0%,66.7%,93.4
Kevin Love,CLE,34,75,2.2,12.3%,1.20,90,2.6,32,0.9,64,1.9,50.0,58.6,10.7%,5.3%,9.3%,1.3%,52.0%,68.7
Clint Capela,HOU,29,121,4.2,35.1%,1.36,165,5.7,70,2.4,97,3.3,72.2,72.2,20.7%,5.0%,20.7%,5.8%,69.4%,89.4
Tristan Thompson,CLE,15,17,1.1,28.8%,1.24,21,1.4,8,0.5,12,0.8,66.7,66.7,23.5%,5.9%,23.5%,0.0%,70.6%,74.8
Jae Crowder,CLE,35,25,0.7,8.0%,0.60,15,0.4,5,0.1,23,0.7,21.7,26.1,8.0%,4.0%,8.0%,4.0%,24.0%,1.3
Draymond Green,GSW,29,29,1.0,8.3%,0.97,28,1.0,9,0.3,20,0.7,45.0,57.5,10.3%,20.7%,10.3%,0.0%,41.4%,30.5
