,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,FGM,FGA,FGM PG,FGA PG,FG%,GP RANK,W RANK,L RANK,MIN RANK,OFFRTG RANK,DEFRTG RANK,NETRTG RANK,AST% RANK,AST/TO RANK,AST Ratio RANK,OREB% RANK,DREB% RANK,REB% RANK,TO Ratio RANK,eFG% RANK,TS% RANK,USG% RANK,PACE RANK,PIE RANK,FGM RANK,FGA RANK,FGM PG RANK,FGA PG RANK,FG% RANK
,Quincy Pondexter,CHI,29,16,4,12,10.1,85.1,110.7,-25.6,7.4,0.64,10.2,4.6,8.9,6.5,16.1,33.7,42.6,16.4,99.63,1.6
,Cristiano Felicio,CHI,25,21,4,17,14.8,88.4,114.4,-26.0,7.1,0.87,13.6,8.1,14.0,10.8,15.7,62.1,62.8,11.9,97.99,5.7
,Lauri Markkanen,CHI,20,25,5,20,30.7,96.8,106.4,-9.6,7.1,0.91,7.7,3.5,25.2,13.9,8.4,48.8,52.4,22.2,98.31,11.4
,Ryan Arcidiacono,CHI,23,1,0,1,5.3,75.0,159.0,-84.0,25.0,0.00,33.3,0.0,0.0,0.0,0.0,0.0,0.0,15.4,105.27,-8.2
,Kris Dunn,CHI,23,22,5,17,28.0,96.2,105.9,-9.7,30.5,1.67,23.7,2.8,15.9,9.2,14.2,47.1,48.5,25.4,99.65,9.8
,Justin Holiday,CHI,28,25,6,19,33.9,98.8,104.6,-5.8,9.4,1.65,11.8,1.6,12.4,6.8,7.2,46.2,49.4,19.8,99.07,7.5
,Robin Lopez,CHI,29,26,6,20,30.2,99.1,104.5,-5.4,11.3,1.04,12.8,9.0,10.2,9.6,12.3,53.1,55.4,20.3,98.25,8.7
,Denzel Valentine,CHI,24,26,6,20,28.7,93.7,106.9,-13.3,16.8,2.96,21.9,2.7,17.4,9.6,7.4,47.5,48.0,16.3,97.81,8.4
,Kay Felder,CHI,22,14,4,10,9.6,91.0,109.1,-18.1,25.6,1.33,18.8,0.8,11.3,5.7,14.1,33.3,38.6,28.2,100.58,3.7
,Cedi Osman,CLE,22,20,14,6,6.6,105.4,103.9,1.5,4.3,0.57,9.1,2.8,21.9,13.5,16.0,51.6,53.2,14.0,99.11,5.6
,Jose Calderon,CLE,36,19,13,6,16.4,108.7,110.4,-1.7,15.1,2.13,31.5,1.1,7.9,4.4,14.8,60.8,63.3,10.4,95.09,5.0
,Channing Frye,CLE,34,26,18,8,13.0,115.1,101.7,13.5,7.1,2.00,14.7,1.9,17.7,10.6,7.4,59.2,61.0,13.9,100.30,8.3
,JR Smith,CLE,32,28,20,8,30.6,112.4,111.3,1.1,10.6,2.20,20.7,1.5,9.8,5.7,9.4,51.2,51.7,13.2,98.61,4.8
,Dwyane Wade,CLE,35,26,19,7,23.7,111.6,103.2,8.5,25.0,1.92,23.1,3.4,12.6,8.4,12.0,48.6,52.3,24.2,100.70,10.7
,John Holland,CLE,29,4,4,0,4.2,69.0,103.8,-34.8,0.0,0.00,0.0,0.0,11.8,5.9,20.0,37.5,37.5,14.3,91.42,1.9
