Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Malik Monk,CHA,11,35,3.2,26.3%,1.11,39,3.5,13,1.2,33,3.0,39.4,59.1,0.0%,5.7%,0.0%,0.0%,37.1%,70.9
Bobby Portis,CHI,17,60,3.5,29.3%,1.10,66,3.9,24,1.4,55,3.2,43.6,58.2,1.7%,6.7%,1.7%,0.0%,41.7%,70.3
Malik Beasley,DEN,24,42,1.8,41.2%,0.90,38,1.6,14,0.6,36,1.5,38.9,48.6,7.1%,7.1%,7.1%,0.0%,38.1%,35.3
Michael Carter-Williams,CHA,15,24,1.6,21.4%,0.71,17,1.1,6,0.4,17,1.1,35.3,50.0,4.2%,20.8%,8.3%,0.0%,25.0%,13.0
Jared Dudley,PHX,12,16,1.3,32.7%,1.25,20,1.7,7,0.6,15,1.3,46.7,66.7,0.0%,6.3%,0.0%,0.0%,43.8%,91.3
Kevon Looney,GSW,20,4,0.2,6.3%,0.75,3,0.2,1,0.1,2,0.1,50.0,50.0,25.0%,25.0%,25.0%,0.0%,50.0%,
Bryn Forbes,SAS,27,89,3.3,48.1%,1.11,99,3.7,35,1.3,78,2.9,44.9,60.3,4.5%,9.0%,4.5%,1.1%,42.7%,73.9
Marcus Morris,BOS,16,55,3.4,27.5%,1.11,61,3.8,21,1.3,49,3.1,42.9,55.1,7.3%,3.6%,7.3%,0.0%,45.5%,72.8
Salah Mejri,DAL,23,2,0.1,3.3%,0.50,1,0.0,0,0.0,1,0.0,0.0,0.0,50.0%,0.0%,0.0%,0.0%,50.0%,
Nerlens Noel,DAL,18,1,0.1,1.4%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Markieff Morris,WAS,20,52,2.6,24.1%,0.87,45,2.3,17,0.9,48,2.4,35.4,46.9,0.0%,7.7%,0.0%,0.0%,32.7%,29.8
Myles Turner,IND,20,37,1.9,13.2%,0.84,31,1.6,13,0.7,32,1.6,40.6,48.4,0.0%,13.5%,0.0%,0.0%,35.1%,27.2
Noah Vonleh,POR,19,18,0.9,20.0%,0.89,16,0.8,8,0.4,18,0.9,44.4,44.4,0.0%,0.0%,0.0%,0.0%,44.4%,32.9
Tomas Satoransky,WAS,18,29,1.6,30.5%,1.28,37,2.1,14,0.8,28,1.6,50.0,64.3,3.4%,0.0%,0.0%,0.0%,51.7%,92.3
Sindarius Thornwell,LAC,25,52,2.1,44.4%,0.96,50,2.0,19,0.8,46,1.8,41.3,51.1,3.8%,7.7%,3.8%,0.0%,40.4%,44.6
Okaro White,MIA,5,10,2.0,52.6%,1.20,12,2.4,4,0.8,8,1.6,50.0,68.8,10.0%,10.0%,10.0%,0.0%,50.0%,85.6
Mangok Mathiang,CHA,10,4,0.4,21.1%,1.50,6,0.6,2,0.2,4,0.4,50.0,75.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Brandan Wright,MEM,16,4,0.3,5.3%,0.50,2,0.1,0,0.0,2,0.1,0.0,0.0,50.0%,0.0%,50.0%,0.0%,50.0%,
Willie Reed,LAC,21,4,0.2,4.5%,1.25,5,0.2,2,0.1,3,0.1,66.7,66.7,25.0%,0.0%,0.0%,0.0%,75.0%,
Cristiano Felicio,CHI,21,4,0.2,4.8%,0.75,3,0.1,1,0.0,3,0.1,33.3,33.3,25.0%,25.0%,25.0%,25.0%,25.0%,
Rashad Vaughn,MIL,5,13,2.6,65.0%,1.00,13,2.6,5,1.0,12,2.4,41.7,54.2,0.0%,7.7%,0.0%,0.0%,38.5%,55.5
Bam Adebayo,MIA,17,6,0.4,7.3%,1.33,8,0.5,3,0.2,5,0.3,60.0,60.0,16.7%,0.0%,16.7%,0.0%,66.7%,
